categoty,analysis,method
CALENDAR_INFORMATION,S,<java.util.Calendar: java.util.Date getTime()>
NETWORK_INFORMATION,S,<org.json.JSONObject: double getDouble(java.lang.String)>
NETWORK_INFORMATION,S,<android.util.SparseArray: android.util.SparseArray clone()>
NETWORK_INFORMATION,S,<java.io.ByteArrayOutputStream: byte[] toByteArray()>
NETWORK_INFORMATION,S,<java.net.URL: java.lang.String getHost()>
NETWORK_INFORMATION,S,<java.util.Date: java.lang.String toString()>
NETWORK_INFORMATION,S,<java.io.File: java.lang.String[] list()>
NETWORK_INFORMATION,S,<org.json.JSONArray: org.json.JSONArray put(java.lang.Object)>
NETWORK_INFORMATION,S,<java.util.TreeMap: java.util.Set keySet()>
NETWORK_INFORMATION,S,<java.io.Reader: int read(char[])>
NETWORK_INFORMATION,S,<java.lang.Object: java.lang.Object clone()>
NETWORK_INFORMATION,S,<android.app.ActivityManager: void getMemoryInfo(android.app.ActivityManager$MemoryInfo)>
NETWORK_INFORMATION,S,<java.net.URLConnection: java.util.Map getRequestProperties()>
NETWORK_INFORMATION,S,<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(android.graphics.Bitmap,int,int,int,int,android.graphics.Matrix,boolean)>
NETWORK_INFORMATION,S,<java.lang.Class: java.lang.reflect.Method getMethod(java.lang.String,java.lang.Class[])>
NETWORK_INFORMATION,S,<org.json.JSONArray: org.json.JSONArray put(double)>
NETWORK_INFORMATION,S,<java.io.File: java.lang.String getName()>
NETWORK_INFORMATION,S,<java.math.BigInteger: double doubleValue()>
NETWORK_INFORMATION,S,<java.lang.Float: java.lang.String toString()>
NETWORK_INFORMATION,S,<java.io.ObjectInputStream: float readFloat()>
NETWORK_INFORMATION,S,<java.math.BigDecimal: double doubleValue()>
NETWORK_INFORMATION,S,<java.lang.String: byte[] getBytes()>
NETWORK_INFORMATION,S,<java.io.File: java.lang.String getPath()>
NETWORK_INFORMATION,S,<android.app.Activity: android.view.WindowManager getWindowManager()>
NETWORK_INFORMATION,S,<java.util.HashMap: java.util.Set entrySet()>
NETWORK_INFORMATION,S,<android.database.sqlite.SQLiteDatabase: android.database.Cursor rawQuery(java.lang.String,java.lang.String[])>
NETWORK_INFORMATION,S,<java.net.URLConnection: java.util.Map getHeaderFields()>
NETWORK_INFORMATION,S,<java.lang.Integer: java.lang.String toString()>
NETWORK_INFORMATION,S,<java.lang.String: java.lang.String trim()>
NETWORK_INFORMATION,S,<java.net.URLConnection: java.io.OutputStream getOutputStream()>
NETWORK_INFORMATION,S,<android.content.Intent: java.lang.String toString()>
NETWORK_INFORMATION,S,<java.lang.reflect.Field: int getInt(java.lang.Object)>
NETWORK_INFORMATION,S,<java.math.BigInteger: long longValue()>
NETWORK_INFORMATION,S,<android.webkit.CookieSyncManager: android.webkit.CookieSyncManager createInstance(android.content.Context)>
NETWORK_INFORMATION,S,<org.apache.http.HttpHost: java.lang.String toURI()>
NETWORK_INFORMATION,S,<java.net.HttpURLConnection: java.lang.String getRequestMethod()>
NETWORK_INFORMATION,S,<java.lang.Throwable: java.lang.String getMessage()>
NETWORK_INFORMATION,S,<java.math.BigInteger: byte[] toByteArray()>
NETWORK_INFORMATION,S,<java.lang.Throwable: java.lang.StackTraceElement[] getStackTrace()>
NETWORK_INFORMATION,S,<android.content.ContextWrapper: android.content.pm.PackageManager getPackageManager()>
NETWORK_INFORMATION,S,<android.preference.PreferenceManager: android.content.SharedPreferences getDefaultSharedPreferences(android.content.Context)>
NETWORK_INFORMATION,S,<android.content.res.Resources: android.util.DisplayMetrics getDisplayMetrics()>
NETWORK_INFORMATION,S,<java.util.LinkedHashMap: java.lang.Object get(java.lang.Object)>
NETWORK_INFORMATION,S,<java.lang.StringBuffer: java.lang.String toString()>
NETWORK_INFORMATION,S,<android.content.ComponentName: android.content.ComponentName clone()>
NETWORK_INFORMATION,S,<java.lang.Class: java.lang.String getCanonicalName()>
NETWORK_INFORMATION,S,<java.net.URLConnection: java.net.URL getURL()>
NETWORK_INFORMATION,S,<java.util.HashMap: java.lang.Object get(java.lang.Object)>
NETWORK_INFORMATION,S,<java.lang.Throwable: java.lang.Throwable getCause()>
NETWORK_INFORMATION,S,<java.net.URL: java.lang.String getQuery()>
NETWORK_INFORMATION,S,<android.content.res.Resources: android.content.res.XmlResourceParser getXml(int)>
NETWORK_INFORMATION,S,<org.json.JSONObject: java.lang.Object get(java.lang.String)>
NETWORK_INFORMATION,S,<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>
NETWORK_INFORMATION,S,<java.lang.String: char[] toCharArray()>
NETWORK_INFORMATION,S,<android.app.Dialog: android.view.Window getWindow()>
NETWORK_INFORMATION,S,<java.net.URI: java.lang.String getScheme()>
NETWORK_INFORMATION,S,<java.lang.reflect.InvocationTargetException: java.lang.Throwable getCause()>
NETWORK_INFORMATION,S,<java.util.Date: long getTime()>
NETWORK_INFORMATION,S,<android.view.ContextThemeWrapper: android.content.res.Resources getResources()>
NETWORK_INFORMATION,S,<java.lang.String: java.lang.String toString()>
NETWORK_INFORMATION,S,<java.util.EnumMap: java.lang.Object get(java.lang.Object)>
NETWORK_INFORMATION,S,<org.json.JSONObject: org.json.JSONObject getJSONObject(java.lang.String)>
NETWORK_INFORMATION,S,<java.text.DateFormat: java.lang.String format(java.util.Date)>
NETWORK_INFORMATION,S,<java.lang.reflect.Field: java.lang.Object get(java.lang.Object)>
NETWORK_INFORMATION,S,<javax.xml.parsers.DocumentBuilderFactory: javax.xml.parsers.DocumentBuilderFactory newInstance()>
NETWORK_INFORMATION,S,<java.lang.Number: byte byteValue()>
NETWORK_INFORMATION,S,<java.lang.Character: char charValue()>
NETWORK_INFORMATION,S,<java.lang.Class: java.lang.reflect.Type getGenericSuperclass()>
NETWORK_INFORMATION,S,<org.json.JSONObject: java.lang.String getString(java.lang.String)>
NETWORK_INFORMATION,S,<java.net.URI: java.lang.String toString()>
NETWORK_INFORMATION,S,<org.json.JSONTokener: java.lang.Object nextValue()>
NETWORK_INFORMATION,S,<android.app.Activity: android.content.Intent getIntent()>
NETWORK_INFORMATION,S,<java.util.Random: long nextLong()>
NETWORK_INFORMATION,S,<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>
NETWORK_INFORMATION,S,<android.webkit.CookieManager: android.webkit.CookieManager getInstance()>
NETWORK_INFORMATION,S,<android.media.AudioManager: int getStreamVolume(int)>
NETWORK_INFORMATION,S,<java.io.Writer: java.io.Writer append(java.lang.CharSequence,int,int)>
NETWORK_INFORMATION,S,<org.apache.commons.codec.binary.Base64: byte[] decode(byte[])>
NETWORK_INFORMATION,S,<java.io.File: java.lang.String getCanonicalPath()>
NETWORK_INFORMATION,S,<java.util.TreeMap: java.util.Set entrySet()>
NETWORK_INFORMATION,S,<android.graphics.Bitmap: android.graphics.Bitmap createScaledBitmap(android.graphics.Bitmap,int,int,boolean)>
NETWORK_INFORMATION,S,<java.net.URI: java.lang.String toASCIIString()>
NETWORK_INFORMATION,S,<javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>
NETWORK_INFORMATION,S,<android.content.res.Resources: android.graphics.drawable.Drawable getDrawable(int)>
NETWORK_INFORMATION,S,<java.net.URI: java.lang.String getAuthority()>
