categoty,analysis,method
SYSTEM_SETTINGS,S,<java.lang.ClassLoader: java.lang.Class loadClass(java.lang.String)>
NETWORK_INFORMATION,S,<android.view.View: int getWidth()>
NETWORK_INFORMATION,S,<org.json.JSONObject: double getDouble(java.lang.String)>
NETWORK_INFORMATION,S,<android.util.SparseArray: android.util.SparseArray clone()>
NETWORK_INFORMATION,S,<android.view.View: int getPaddingBottom()>
NETWORK_INFORMATION,S,<java.io.ByteArrayOutputStream: byte[] toByteArray()>
NETWORK_INFORMATION,S,<java.util.HashMap: java.util.Collection values()>
NETWORK_INFORMATION,S,<android.content.res.TypedArray: android.graphics.drawable.Drawable getDrawable(int)>
NETWORK_INFORMATION,S,<java.text.Collator: java.text.Collator getInstance()>
NETWORK_INFORMATION,S,<java.net.URL: java.lang.String getHost()>
NETWORK_INFORMATION,S,<org.json.JSONArray: org.json.JSONArray put(long)>
NETWORK_INFORMATION,S,<android.view.KeyEvent: int getAction()>
NETWORK_INFORMATION,S,<java.lang.StackTraceElement: java.lang.String getClassName()>
NETWORK_INFORMATION,S,<org.json.JSONArray: org.json.JSONArray put(java.lang.Object)>
NETWORK_INFORMATION,S,<java.lang.Class: java.lang.reflect.Method[] getDeclaredMethods()>
NETWORK_INFORMATION,S,<android.os.Parcel: android.os.Parcelable readParcelable(java.lang.ClassLoader)>
NETWORK_INFORMATION,S,<java.io.Reader: int read(char[])>
NETWORK_INFORMATION,S,<java.lang.Object: java.lang.Object clone()>
NETWORK_INFORMATION,S,<android.view.View: int getMeasuredHeight()>
NETWORK_INFORMATION,S,<java.lang.Class: java.lang.reflect.Method getMethod(java.lang.String,java.lang.Class[])>
NETWORK_INFORMATION,S,<java.io.ObjectInputStream: java.io.ObjectInputStream$GetField readFields()>
NETWORK_INFORMATION,S,<android.content.ContextWrapper: android.content.Intent registerReceiver(android.content.BroadcastReceiver,android.content.IntentFilter)>
NETWORK_INFORMATION,S,<org.json.JSONArray: org.json.JSONArray put(double)>
NETWORK_INFORMATION,S,<java.io.File: java.lang.String getName()>
NETWORK_INFORMATION,S,<android.view.LayoutInflater: android.view.LayoutInflater$Factory getFactory()>
NETWORK_INFORMATION,S,<java.math.BigDecimal: double doubleValue()>
NETWORK_INFORMATION,S,<java.lang.String: byte[] getBytes()>
NETWORK_INFORMATION,S,<java.io.File: java.lang.String getPath()>
NETWORK_INFORMATION,S,<android.view.View: int getId()>
NETWORK_INFORMATION,S,<android.net.Uri$Builder: java.lang.String toString()>
NETWORK_INFORMATION,S,<android.view.View: int getScrollY()>
NETWORK_INFORMATION,S,<android.app.Activity: android.view.WindowManager getWindowManager()>
NETWORK_INFORMATION,S,<java.util.HashMap: java.util.Set entrySet()>
NETWORK_INFORMATION,S,<android.os.Bundle: android.util.SparseArray getSparseParcelableArray(java.lang.String)>
NETWORK_INFORMATION,S,<java.net.URLConnection: java.util.Map getHeaderFields()>
NETWORK_INFORMATION,S,<android.view.View: android.view.ViewGroup$LayoutParams getLayoutParams()>
NETWORK_INFORMATION,S,<android.view.ViewStub: android.view.View inflate()>
NETWORK_INFORMATION,S,<android.os.Bundle: java.io.Serializable getSerializable(java.lang.String)>
NETWORK_INFORMATION,S,<android.widget.AdapterView: int getFirstVisiblePosition()>
NETWORK_INFORMATION,S,<android.view.View: android.content.res.Resources getResources()>
NETWORK_INFORMATION,S,<java.lang.Integer: java.lang.String toString()>
NETWORK_INFORMATION,S,<java.lang.String: java.lang.String trim()>
NETWORK_INFORMATION,S,<android.media.AudioManager: int getMode()>
NETWORK_INFORMATION,S,<java.net.URLConnection: java.io.OutputStream getOutputStream()>
NETWORK_INFORMATION,S,<android.content.res.Resources: java.lang.String getResourceName(int)>
NETWORK_INFORMATION,S,<android.app.Activity: java.lang.Object getLastNonConfigurationInstance()>
NETWORK_INFORMATION,S,<android.content.Intent: java.lang.String getAction()>
NETWORK_INFORMATION,S,<android.webkit.CookieSyncManager: android.webkit.CookieSyncManager createInstance(android.content.Context)>
NETWORK_INFORMATION,S,<android.view.View: int getScrollX()>
NETWORK_INFORMATION,S,<android.view.MotionEvent: float getY(int)>
NETWORK_INFORMATION,S,<java.lang.Float: double doubleValue()>
NETWORK_INFORMATION,S,<java.net.HttpURLConnection: java.lang.String getRequestMethod()>
NETWORK_INFORMATION,S,<java.lang.Throwable: java.lang.String getMessage()>
NETWORK_INFORMATION,S,<android.widget.AdapterView: int getLastVisiblePosition()>
NETWORK_INFORMATION,S,<java.lang.Throwable: java.lang.StackTraceElement[] getStackTrace()>
NETWORK_INFORMATION,S,<android.content.ContextWrapper: android.content.pm.PackageManager getPackageManager()>
NETWORK_INFORMATION,S,<java.util.AbstractQueue: java.lang.Object remove()>
NETWORK_INFORMATION,S,<android.preference.PreferenceManager: android.content.SharedPreferences getDefaultSharedPreferences(android.content.Context)>
NETWORK_INFORMATION,S,<android.content.res.Resources: android.util.DisplayMetrics getDisplayMetrics()>
NETWORK_INFORMATION,S,<android.content.ComponentName: android.content.ComponentName clone()>
NETWORK_INFORMATION,S,<android.view.View: int getBottom()>
NETWORK_INFORMATION,S,<android.content.res.TypedArray: int getInteger(int,int)>
NETWORK_INFORMATION,S,<java.lang.Class: java.lang.String getCanonicalName()>
NETWORK_INFORMATION,S,<android.widget.Scroller: int getFinalX()>
NETWORK_INFORMATION,S,<java.net.URLConnection: java.net.URL getURL()>
NETWORK_INFORMATION,S,<java.util.HashMap: java.lang.Object get(java.lang.Object)>
NETWORK_INFORMATION,S,<java.lang.Throwable: java.lang.Throwable getCause()>
NETWORK_INFORMATION,S,<java.lang.StackTraceElement: java.lang.String getMethodName()>
NETWORK_INFORMATION,S,<android.view.View: int getPaddingTop()>
NETWORK_INFORMATION,S,<java.net.URL: java.lang.String getQuery()>
NETWORK_INFORMATION,S,<android.view.View: int getOverScrollMode()>
NETWORK_INFORMATION,S,<java.util.AbstractList: java.util.Iterator iterator()>
NETWORK_INFORMATION,S,<java.io.ObjectOutputStream: java.io.ObjectOutputStream$PutField putFields()>
NETWORK_INFORMATION,S,<org.json.JSONObject: java.lang.Object get(java.lang.String)>
NETWORK_INFORMATION,S,<android.content.IntentFilter: java.lang.String getAction(int)>
NETWORK_INFORMATION,S,<android.graphics.Bitmap: android.graphics.Bitmap createBitmap(int,int,android.graphics.Bitmap$Config)>
NETWORK_INFORMATION,S,<android.view.KeyEvent: int getKeyCode()>
NETWORK_INFORMATION,S,<java.lang.String: char[] toCharArray()>
NETWORK_INFORMATION,S,<android.app.Dialog: android.view.Window getWindow()>
NETWORK_INFORMATION,S,<java.net.URLConnection: java.lang.String getContentEncoding()>
NETWORK_INFORMATION,S,<android.view.View: android.graphics.drawable.Drawable getBackground()>
NETWORK_INFORMATION,S,<android.os.Looper: android.os.Looper getMainLooper()>
NETWORK_INFORMATION,S,<android.text.SpannableStringBuilder: java.lang.String toString()>
NETWORK_INFORMATION,S,<android.content.ContextWrapper: android.content.SharedPreferences getSharedPreferences(java.lang.String,int)>
NETWORK_INFORMATION,S,<android.app.Dialog: android.os.Bundle onSaveInstanceState()>
NETWORK_INFORMATION,S,<android.view.MotionEvent: int getPointerCount()>
NETWORK_INFORMATION,S,<java.lang.reflect.Proxy: java.lang.reflect.InvocationHandler getInvocationHandler(java.lang.Object)>
NETWORK_INFORMATION,S,<java.util.Date: long getTime()>
NETWORK_INFORMATION,S,<android.view.ContextThemeWrapper: android.content.res.Resources getResources()>
NETWORK_INFORMATION,S,<java.lang.String: java.lang.String toString()>
NETWORK_INFORMATION,S,<java.text.DateFormat: java.lang.String format(java.util.Date)>
NETWORK_INFORMATION,S,<org.json.JSONObject: org.json.JSONObject getJSONObject(java.lang.String)>
NETWORK_INFORMATION,S,<android.content.res.Resources: float getDimension(int)>
NETWORK_INFORMATION,S,<android.view.View$MeasureSpec: int getMode(int)>
NETWORK_INFORMATION,S,<android.widget.TextView: int getBaseline()>
NETWORK_INFORMATION,S,<android.net.NetworkInfo: int getType()>
NETWORK_INFORMATION,S,<java.lang.reflect.Method: java.lang.annotation.Annotation getAnnotation(java.lang.Class)>
NETWORK_INFORMATION,S,<java.lang.reflect.Field: java.lang.Object get(java.lang.Object)>
NETWORK_INFORMATION,S,<java.lang.Class: java.lang.ClassLoader getClassLoader()>
NETWORK_INFORMATION,S,<android.view.AbsSavedState: android.os.Parcelable getSuperState()>
